"Response","tweets"
"negative"," jetblue c mon now  my flight s delayed annnnnd you can t give me a pick    i m about to tweet at  united or  delta        "
"positive"," southwestair me  amp   sammi jon3s are best friends because of  imaginedragons  any chance we could get tickets to  destinationdragons  "
"negative"," usairways thanks but the bags are only 10  of what went wrong  22 hours from dca to san when there were no weather issues is not acceptable"
"neutral"," southwestair hi guys  do you have a general enquires email address please  thanks david "
"neutral"," southwestair  stepup  makeitright re you best  or just money hungry   wewillsee"
"negative"," united i was rebooked  however it would have been nice not to have to wait an extra 90 min at the airport   how will you make this right "
"positive"," southwestair finally through thx"
"positive","    americanair   dawn davis you re very welcome  dawn  we love taking you flying  let s do it again     again in 1 week "
"neutral"," united yes  about an hour after landing "
"negative"," united just sent you a message on facebook  how do i follow up a complaint re  missing clothing out of checked baggage "
"neutral"," united what s with the layover in canada from the ua125  is that scheduled "
"negative"," usairways i did and i m not stupid  i ve done web development for 19 yrs  the issue  now confirmed by your support  is your website "
"positive"," usairways well i did miss it  but gate agents had rebooked boarding pass waiting when i landed  time for lunch  amp  a beverage  easy cheesy"
"neutral"," americanair am i upgraded on my next flight "
"positive"," usairways thanks to the whole team for an on time flight despite inclement weather http   t co eqepkkpsxm"
"negative"," usairways literally the worst flying experience of my life  and i have flown a lot"
"negative"," jetblue it s been 3 hours  why have you not sent the plane from the hangar for flight 1533 at jfk  this is absolutely ridiculous "
"negative"," usairways  americanair   burned a lot of time and cell minutes working through this flight issue   hopefully we fly home in the morning "
"positive"," americanair i don t think you should help him at all based on his behavior  the voucher and cot seem like enough lol     "
"negative"," usairways doubt it  gate 35x is a cluster  and every agent encounter i saw  including one with me  was outright rude  just very put off "
"negative"," americanair ok so why is it late flight  and for that matter why was my flight 4491 cancelled flighted this morning  i ve been in yyz since 5 am "
"neutral"," southwestair i m trying to get home to nashville  i ve been stuck in dallas 2 days will my flight get out in the morning"
"neutral"," southwestair please lower my plane flight by like  100 bucks   thanks   floridavacation"
"neutral"," southwestair i have 2d and 3d embossed badges and patches superior to the ones you are currently using   http   t co 3fq3xelbon"
"neutral"," virginamerica is there special assistance if i travel alone w 2 kids and 1 infant  priority boarding "
"positive"," united great landing in denver  next rapid city  snow starting to fall   florida everglades is a faint sunburn away   here comes the cold "
"negative"," americanair if my flight gets cancelled flightled i should be able to reschedule to any date i want  not the next day or 2 days after"
"negative"," united question   was given food vouchers but can t use on plane  how   come"
"negative"," united   watched the entire  uncvsduke game on the tarmac before cancelled flighting my flight because crew timed out  right before my 4hr flight    "
"negative"," united it s not getting any better  i d suggest you get a senior manager to this gate   then retrain these gate people"
"neutral"," united any info on delays at sfo tomorrow due to low clouds "
"neutral"," usairways we re glad to hear it  out of curiosity  what causes such flight patterns "
"negative"," americanair i guess i was one of the select few that hadn t had many problems before this and all the sudden my whole trip got jacked"
"neutral"," jetblue i know there s no actual  mile high  club  but surely there s something i can join    "
"neutral"," southwestair i have a question re  your atl companion pass offer  i know i need 3 revenue flight roundtrips  what s a revenue flight  thnx"
"negative"," united it s not there we tried  it s already here in cancun just no one has delivered it"
"negative","  united all other ana ticket holders get to use the lounge  too  but not us  because united booked us   grumpykim"
"neutral"," southwestair so the fares i see for flights in fall are the absoulutely lowest they will be "
"negative"," jetblue now we are waiting over an half hr for the packages  what s wrong with you guys   http   t co wvgpp3ymz1"
"negative"," united here is my case id 8473573  requested on 2 5  now it s 2 19    7 10 days i ll get a response  bs "
"negative"," southwestair there    from my first interaction with your people this morning  after bad weather  sorry but i wont be flying with you again"
"negative"," united nice 2 see u have a sense of humor   3hourdelay just want 2 b home but i ll settle for that beer  once safely in the air  of course"
"negative"," jetblue   fix your     amp  jet bridges   40 minute delay  2nd gate   still waiting    jetblues http   t co ncb2oncs9i"
"negative"," southwestair why was flight 4199 out of boston tmrw   1230 cancelled flightled "
"negative"," usairways us 728  one water run of the planet s smallest water bottles  applaud you looking out for the environment "
"negative"," southwestair on hold for two hours and it timed out on me  great system you got there "
"negative"," southwestair disappointed in the faa  regulation  you have 2 furnish proof of age 4 toddler  thx for the unnecessary headache   flyunited"
"positive"," jetblue i want to give a warm thanks to your crew at logan airport for still getting me to the dc area after cancelled flightlations this morning "
"negative"," usairways  americanair did i mention i m a silver preferred member and fly every week  not always with you   and not even a meal voucher "
"neutral"," united no  didn t notice i was 38a until start of boarding  assumed i was 8e  by time boarding started  gas had cleared standbys  full flt"
"neutral"," southwestair boarding passes now compatible with  iphone  passbook  http   t co 1esmmnizek"
"negative"," united there are exit row window shades in approx 11  of the windows  of your rj 145s   lt   a frequent flyer http   t co aoeaeszdlx"
"positive"," usairways knows customer service   thank you for starting our 2 week vacay on an amazing note  thank you sarita   "
"negative"," united i miss the continental days "
"negative"," americanair no  i just expect a higher level of customer service  amp  for the flight crews to give us accurate information"
"negative"," usairways it s painful being on hold to you   really 25 minutes to change a flight   http   t co ocqk0jfxua"
"negative"," usairways yet again your staff in philadelphia  failed to send my luggage home with me   alwayshappensthere  angrytraveler"
"positive"," jetblue well lucky i only fly jb  i guess i would be even more squished on any other airline     "
"negative"," americanair we ve been on hold for hours "
"negative"," jetblue i ve spoken 2 emailed jb team and explained situation  didnt seem to matter to anyone other than me  i guess i just expected more "
"neutral"," americanair do you guys have wifi on international flights "
"positive"," jetblue  bluemanity  airlineadviser loves this  have a great time flying this"
"negative"," americanair robocalls me with another cancelled flightation  and then when i don   t accept the change it won   t let me connect to an agent  just wow "
"negative"," southwestair when will your phone agents be able to give the correct departure times for cun  when can we checkin online for international "
"negative"," usairways   what a disaster  flight 3739  missed passenger count by 5 since it was done manually    really   "
"negative"," united i have a flight from omaha to chicago  en route to nyc  and they are seating me and my partner separate  please fix this res  ilc0hp"
"neutral"," jetblue airways sees significant decline in short interest  jblu    wkrb news http   t co lzfgutxiyn"
"negative"," jetblue app still saying i can t dm you   "
"negative"," united a plane took our gate and now we re just waiting in a lot at dia"
"neutral"," jetblue   i look forward to getting this resolved  i will be in touch "
"negative"," americanair followed  i tried to  usairways record locator number  gave me an error code"
"neutral"," americanair is there a probability that flight 1330 from dfw to dtw will be delayed or cancelled flighted "
"negative"," united i ve been waiting on my bag in iah for 45mins   they re only 4 freaking people on that flight waiting for bags   fix this  "
"positive"," southwestair thanks for getting us to paradise safely  http   t co kdzqczlpyr"
"neutral"," americanair considering it was purchased on the 21st and i attempted to use it again on the 21st i believe it would fit these parameters "
"neutral"," jetblue ceo weighs profits  flyers    chronicleherald  registration  http   t co 9vkj9s7jrm"
"negative"," americanair  all i get is an automated system that hangs up on me  i finally get a message that some will call me back in 2 hours "
"neutral"," southwestair guys  we ve got to do something about the inability to check in online for international  flight that has     1 2 "
"neutral"," southwestair ceo gary kelly   you all are absolutely my heroes    southwestrally  bwi  bestemployees  swaculture http   t co jtxyhqhfjj"
"negative"," usairways rebooked for tuesday  arriving too late flight for on tuesday to start the class  cancelled flightled the trip "
"negative"," united how does that make a flight takeoff on time  and regardless it makes me late flight because now i have to wait for my bag at baggage claim "
"neutral"," jetblue i want to enter the family pooling contest  it says  by 2 19  on the website  can i please enter still "
"positive"," united keep the flights cheap and early on time and you are good  flew  americanair  and cancelled flightled my flight 4 times last month  united gt "
"negative"," americanair 37 minutes      "
"negative"," americanair a friend is having flight cancelled flightlations out of lax to cmh on feb 23  anyway to help her  800 number has been no help"
"negative"," jetblue where is it coming from  i thought tampa "
"positive"," southwestair your crew on 4028 tonight was outstanding  god bless them and the medically trained passengers on board "
"negative"," americanair is there another line i can call when i am on hold for 5 hours  also how can i get compensated for this loss of time and money "
"negative"," southwestair the wait for the bags is longer than the actual flight "
"negative"," united worst service ever     "
"positive"," united thank you for the help  "
"negative"," united come on  reopen 1285 at ord and clear your growing dc backlog"
"positive"," jetblue worked now  ty"
"negative"," united apologize to the president  once those employees blamed him  i heard it repeated 20 times "
"negative"," united i am so happy i found my phone because this is easily the worst system i have ever heard of"
"neutral"," usairways can you help with a seat assignment   5 people flight 694  phx to hnl  seats are split up   anything you can do will be great "
"positive"," united thnx for the info"
"negative"," usairways i waited customer service 32 minutes on the phone w o response  had to hung up in the end since my battery died due to waiting "
"negative"," southwestair we are having a real issue trying to get thru to you   on hold for 2 hours  amp  got disconnected   please help "
"negative"," southwestair reviewing your oversize policy  hardcase golfbags are free if under weight  how do we add guitars and instruments to the list "
"positive"," usairways will do  hoping for a voucher for a future flight  optimistic"
"negative"," americanair  united we ll have time and they aren t doing a damn thing  i m the guy in the winter hat and frowny face"
"negative"," united it problems with the link   3thparty"
"negative"," americanair  ti2469 oh shiz i m only 40 minutes into my wait after the first 3 hour barrier    unbelievable"
"negative"," usairways to a booked hotel for the night so i had to find him a room at midnight  then say his bags will be on the plane  but can t  2 3 "
"negative"," usairways he is 8 months old and is suffering from a rare form of cancer  your customer service agents had no compassion and i am disgusted"
"negative"," united at its worse  can t figure how to pack plane  screws up connectns then claims no hotl rooms in san fran for stranded pax  way to go "
"positive"," southwestair thank you  we ll be in touch   moveaboutthecountry"
"negative"," jetblue absolutely no worries  i m just never flying with you again  ever  even i have to hitch hike cross country  passengersarepeople"
"neutral"," jetblue s ceo battles to appease passengers and wall street   waterbury republican american http   t co d1ergpdwsj"
"negative"," usairways now they re not even accepting calls at all  come on "
"negative"," americanair i need to rebook and i cannot get an agent  can you help "
"neutral"," jetblue alittle more money to book our flights    we re 1 2 way there   "
"neutral"," southwestair yall still fly in the cold right "
"negative"," jetblue she s standing here on her cell no announcements no info  thismosaicnothappy"
"negative"," united soooo  it s been 15 days and you ve offered no response  so i assume poor treatment by gate agents is the norm now "
"negative"," united still can t dm  it s lh7631 on 21 2 15"
"neutral"," southwestair when is the last chance to get  destinationdragons tickets  i would die of happiness if i won         "
"positive"," united sent a dm just now  thanks i am incredibly happy the fast response i got via twitter than via customer care  thank you"
"negative"," americanair robocalls me with another cancelled flightation  and then when i don   t accept the change it won   t let me connect to an agent  just wow "
"negative"," united it s been over 3 hours   at what point do you let people off of the plane   foxnews  cnn  msnbc"
"negative"," usairways worst experience ever  unable 2 help over phone and told at last min cabin crew unavailable for flight  never again  usairways"
"neutral"," jetblue do you have a waiver for ny weather today "
"negative"," usairways seriously doubt that as i am still sitting inside at the gate "
"negative"," united extremely disappointed in  flight6831  united left crew and pssgrs stranded in rain   gate with no cover  left psngrs 2 depart plane"
"negative"," usairways youre batting  1000  every flight ive taken is delayed  worst airline  ever "
"positive"," southwestair   we left ipad in a seat pocket   filed lost item report  received it exactly 1 week late flightr   is that a record    unbelievable"
"negative"," usairways sitting in a cesspool of germs on the ground in  phl for 2 hours now "
"positive"," southwestair sweet    glad to hear it  i ll keep you guys in mind next time "
"neutral"," americanair yes  he s in the next flight"
"negative"," americanair we tried  we are headed to a funeral in cincinnati and your people didn t even tell us we could get on standby "
"negative"," usairways call dropped  amp  no call back   another 45min hour for another rep  the worst cs ever  online  by phone  amp  in person "
"negative"," united  1007 houston bogota with an engine problem  mechanics trying to  fix  the problem  safety first  better to change the plane"
"negative"," united enough already with the poor service  old planes  ridiculous routing  1k and time to find a new airline with status match "
"neutral"," jetblue need flight to ath from pdx  do you coordinate with other airlines "
"negative"," united my wife and i will be sharing this dreadful experience  don t pretend ua cares about young girl traveling alone   united airlines"
"positive"," jetblue  fll to mde  great flight  great customer service  thanks  2 mths waiting   americanair  to speak to a human at customer service"
"negative"," usairways delays to the max"
"negative"," united worst airline ever "
"negative"," southwestair why do you charge so much moving from a full flight to an earlier flight with seats available   doesn t make sense to me "
"positive"," jetblue what are the chances of actually flying out of charleston today   cold  rainy weather in the south of all places   "
"neutral"," americanair we did talk with delta for about hour over phone  and i got a number from delta that they asked to give to aa  which i did "
"negative"," americanair no  i was told i got put on another flight and that i would get an email  still haven t gotten one yet "
"negative"," americanair again you guys are a huge joke and cancelled flight your flight for no reason  this is the 3rd time in one trip for me that you have"
"negative"," usairways now has stranded is in  miami without updating any of the departure boards  and once they cancelled flightled the flight there was no   "
"negative"," americanair still no reply to my email sent on 11th february  even sent an email asking for acknowledgment that s it been recieved  nothing"
"negative"," jetblue 5 hours delayed now in hour increments   really    amp  as mosaic i still have to pay  25 to use lounge during this waste of a sunday "
"negative"," jetblue do your trueblue pages not work on chrome or safari  i keep getting blank pages when i lick on the trueblue tab on your site "
"positive"," southwestair thank you  "
"neutral"," southwestair my flight continues through to vegas after my stop  don t be upset if a stowaway "
"negative"," virginamerica  virginatlantic i have just checked in flight to sfo from lax  amp  been told as atlantic flying club gold i get no benefits  "
"negative"," jetblue i don t want jetblue  tv  i want jetblue  wifi     "
"positive"," americanair thank you for quick responses     aa usually has fantastic customer service  that s why i was so shocked when it wasn t there"
"neutral"," virginamerica  you down with rnp    yeah you know me  "
"neutral","thanks  united   imran r44 had a question about the wait time for baggage on ua6366"
"negative"," united ok so what is being done about my experience  my family had a terrible experience for  1 200  it s kind of like being robbed explain"
"negative"," usairways  americanair you know   hockey sticks are expensive  your baggage handlers shouldn t just be throwing them on the cart "
"negative"," usairways what is with all the cancelled flightlations to pbi  we have pax at dca that have been sent to 4 different lines between aal and awe  help "
"negative"," americanair is there only one call centre  i know it s busy right now  really need to speak to agent not computer"
"negative"," southwestair i ve been on hold with customer service for over an hour  can you help  "
"negative"," united woke up to notification  flight moved 1 5 hrs early  barely made flight then 3 hrs layover in sfo   wanted to hop on earlier option"
"negative"," usairways your customer service   has a recording that says we are to busy to assist and hangs up  great touch   poorservice  gma  cbsnews"
"negative"," usairways handled on the phone  unfortunately it wiped out an entire trip  which is why i m so displeased "
"positive"," united just did  thank you "
"neutral"," southwestair  vindictive tk larry david works for southwest "
"negative"," united b c of your delay now you are oversold by 14 passengers      this is a mess  what are you going to do to compensate "
"negative"," united  americanair so that s it  it just ends there  come on  i traveled for literally an extra day and a half because of this "
"negative"," southwestair how long does it take for points from rr shopping to post to my account  got email saying i ve earned points but don t see em"
"neutral"," united i have a 0530 flight out of dfw on tuesday  how far in advance will you give notice if cancelled flightled "
"neutral"," united stars and bars  iah  a320  airlineguys  airlinegeeks  avgeek http   t co mwsoguc33p"
"neutral"," united  luke mcintosh68 nah you wouldn t"
"negative"," usairways your computer system went down ok that is understandable but the agents make it worse by not helping her or anyone else"
"negative"," united i was denied use of a rear facing car seat on ua5025  an erj145  can you confirm the actual policy "
"negative"," united worst flights i ve ever had  ground crew ignored our plane  made me miss flight and now i have to cover the cost of a hotel   den"
"negative"," united  flyeia yes  they said it took more than an hour "
"negative"," americanair now on 5th plane of the day  first 4 all taken out of svc  scheduled dep 3 p m  still on ground ord 10 45pm"
"neutral"," usairways it s vegas baby who doesn t have a good time in vegas lol"
"positive"," usairways you are the best airways  follow me please                                                                                                                 "
"positive"," americanair great seats on this aircraft "
"negative"," united where is my fucking bag     where the fuck is my fucking bag    tell me now or give me a number to call a human  san68059m"
"negative"," united typical caned response from ua  fix your crappy performing  last placed ranked airline in this century "
"negative"," usairways that link is broken  but if it s the online baggage locator  i already tried it and it gave me no useful information "
"negative"," usairways this has been the worst trip with little to no customer service"
"negative"," virginamerica i need to register a service dog for a first class ticket from sfo  gt  dulles  the phone queue is an hour or longer  pls advise"
"negative"," usairways 1917  still sitting here  feels badly handled "
"negative"," americanair still waiting on bags from flight 1613 2440 yesterday  first class passenger not happy with your service "
"negative"," usairways she spoke with someone this am and was told that breast pumps aren t medical equipment and that she should have  planned better  "
"neutral","stop this madness rt  jetblue  our fleet s on fleek  http   t co 7x9usbj2fv"
"negative"," united we are the airline that has cancelled flightled flights tomorrow to the nyc area"
"positive"," virginamerica and again  another rep kicked butt  naelah represents your team so beautifully   thank you   "
"negative"," southwestair 4 flights cancelled flightled in one week   customer service is                 "
"neutral"," jetblue well duh  my grandfather just got hired as a tsa agent and currently at pwm "
"neutral"," southwestair 8 mins    http   t co bbzijwfdl3"
"positive"," southwestair finally  integration w  passbook is a great valentine gift   better then chocolate flight  you do heart me "
"negative"," usairways  americanair  is there anyone answering phones today    listening to same damn messages for 1 10 minutes"
"negative"," united we re still waiting to find out your rep is working hard   most upset about having to wait to tomorrow pm to get to mammoth"
"negative"," southwestair i ve been on hold for 2 hours to reschedule my cancelled flightled flight for the morning  what gives  i need help now"
"negative"," usairways is useless airways  day 2 trying to get home on standby as a result of their cancelled flightlation   usairways"
"negative"," americanair and  itunesmusic have put me in bad mood  i haven t been this angry since spagnuolo coached the  rams"
"neutral"," united  res   0167560070877     fsqthg   thanks"
"positive"," southwestair thx to customer service rep alex for his patient help in reflight booking problems a cancelled flighted flight and getting us where we have to be tmrw "
"neutral"," americanair and then wanted to change it to ba for avios "
"negative"," americanair it s been 3 weeks and no reply from customer relations yet   running out of time  please help   request  1 2888155964    thanks"
"negative"," united with karen and found her unhelpful and rude  called united at the time  amp  told she could board but karen would not accept"
"neutral"," united 24 seats available on the 2 15 pm from ord to rdu   i need 2 seats please"
"negative"," usairways 2  hr wait  amp  really bad exp  phlairport  luggage won t arrive w  me do i really have 2go back las airport 2 pick up when arrives "
"positive"," united i was sincerely thanking the pilot of flight 4461 of braving the snow and getting me home amongst many other cancelled flightlations "
"neutral"," virginamerica dear virgin customer  while you re stranded in sf for 3 days  amp   1000cost  we ll do the very least we can to accommodate you "
"negative"," americanair sitting in a 2 hour long at least phone queue  hoping i get things rebooked in time or at least some plastic wings   tears"
"neutral"," virginamerica morning  if i have a question regarding elevate points  amp  flights can i dm you "
"negative"," southwestair don t apologize  do something about it  words mean nothing  actions work  eom "
"positive"," americanair all of the nicest people in the world work at admiral s clubs  gladys in san juan es mi amiga"
"negative"," jetblue dropped 3x in past hour"
"negative"," united said they would give us a refund  30 days late flightr no refund "
"negative"," usairways no one at  clt knows about runway issues  my inbound flight was only one delayed  connection left without me  now i m stuck "
"negative"," americanair i have been on hold w customer service line for 68 minutes   this after i was on phone with an agent for 35 min b f call droped"
"negative"," southwestair give us some more clever advertising about  bagsflyfree is that because  badpolicy allows you to  cheatcustomers"
"positive","power moves rt  jetblue  our fleet s on fleek  http   t co t9s68korsn"
"negative"," usairways  claudoakeshott don t need this link  after getting a person u now say u don t know where bags are  lost on a nonstop phx to jfk "
"negative"," usairways  you took the miles out of my account and told me that i could restore by paying  150 or opening a credit card"
"negative"," usairways that wasn t the issue  someone finally helped on the phone  now theres a website error that won t let me process my request  smh"
"negative"," americanair was told at 7pm my bags would 1000  be at my house by 9pm  well they re not and i continue to be lied to "
"negative"," southwestair a list pref credit card holder called exclusive   and hung up after on hold for 14 min  what gives   "
"negative"," united  we ve been waiting for over an hour for our luggage  what gives "
"negative"," jetblue if someone had bothered to inform us that the airport closed  that would have helped "
"negative"," united i d rather have the truth about my flight than be forced to sit here all day  trying to get home to this  http   t co u69fafqhsf"
"negative","stop  jetblue"
"neutral"," southwestair flying back to denver tomorrow  should i rebook "
"negative"," americanair whenever i cheat on you it goes horribly wrong  i promise  i won t stray anymore  i m talking about you  delta "
